车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟
,昆明南,2026-07-07,09:00,2026-07-07,09:00,0.0
,弥勒,2026-07-07,09:35,2026-07-07,09:38,0.0
,普者黑,2026-07-07,10:11,2026-07-07,10:15,0.0
,珠琳,2026-07-07,10:32,2026-07-07,10:34,0.0
,广南县,2026-07-07,10:51,2026-07-07,10:53,0.0
,百色,2026-07-07,11:58,2026-07-07,12:02,
,田东北,2026-07-07,12:27,2026-07-07,12:29,
,平果,2026-07-07,12:49,2026-07-07,12:52,
,南宁,2026-07-07,13:31,2026-07-07,13:35,
,南宁东,2026-07-07,13:46,2026-07-07,13:51,
,宾阳,2026-07-07,14:16,2026-07-07,14:18,
,平南南,2026-07-07,15:01,2026-07-07,15:03,
,藤县,2026-07-07,15:22,2026-07-07,15:24,
,梧州南,2026-07-07,15:36,2026-07-07,15:38,
,南江口,2026-07-07,16:01,2026-07-07,16:07,
,肇庆东,2026-07-07,16:37,2026-07-07,16:40,
,佛山西,2026-07-07,17:01,2026-07-07,17:04,
,广州南,2026-07-07,17:25,,,
,,,,,,
,广州,2026-07-07,08:42,2026-07-07,08:42,
,佛山西,2026-07-07,09:04,2026-07-07,09:16,
,肇庆东,2026-07-07,09:35,2026-07-07,09:37,
,贺州,2026-07-07,10:24,2026-07-07,10:26,
,阳朔,2026-07-07,10:58,2026-07-07,11:04,
,桂林西,2026-07-07,11:24,2026-07-07,11:28,
,都匀东,2026-07-07,12:43,2026-07-07,12:48,
,贵阳东,2026-07-07,13:23,2026-07-07,13:31,
,遵义,2026-07-07,14:18,2026-07-07,14:20,
,娄山关南,2026-07-07,14:34,2026-07-07,14:36,
,重庆西,2026-07-07,15:43,2026-07-07,15:52,
,重庆北,2026-07-07,16:17,2026-07-07,16:22,
,梁平南,2026-07-07,17:14,2026-07-07,17:19,
,万州北,2026-07-07,17:40,2026-07-07,17:44,
,云阳,2026-07-07,17:57,2026-07-07,17:59,
,巫山,2026-07-07,18:33,,,
,,,,,,
G1,北京南,2026-07-07,06:30,2026-07-07,06:30,0.0
G1,沧州西,2026-07-07,07:18,2026-07-07,07:20,0.0
G1,德州东,2026-07-07,07:45,2026-07-07,07:47,0.0
G1,曲阜东,2026-07-07,08:34,2026-07-07,08:36,
G1,南京南,2026-07-07,10:13,2026-07-07,10:15,11.0
G1,苏州北,2026-07-07,10:59,2026-07-07,11:01,19.0
G1,上海虹桥,2026-07-07,11:24,,,16.0
,,,,,,
D1,北京西,2026-07-07,17:58,2026-07-07,17:58,0.0
D1,石家庄,2026-07-07,20:24,2026-07-07,20:30,41.0
D1,郑州,2026-07-07,23:59,2026-07-08,00:05,28.0
D1,武昌,2026-07-08,04:44,2026-07-08,04:50,0.0
D1,岳阳,2026-07-08,06:47,2026-07-08,06:51,-3.0
D1,长沙,2026-07-08,08:16,,,-9.0
,,,,,,
